AN,CUI,CAEN,DENUMIRE,LOCALITATE,STARE,DATA STARE,ACTIVE IMOBILIZATE - TOTAL,JUDET,ACTIVE CIRCULANTE - TOTAL,STOCURI,CREANTE,CASA SI CONTURI LA BANCI,DATORII,CAPITALURI - TOTAL ,CAPITAL SUBSCRIS VARSAT,CIFRA DE AFACERI NETA,VENITURI TOTALE,CHELTUIELI TOTALE,PROFITUL BRUT,PIERDERE BRUTA,PROFITUL NET,PIERDERE NETA
2018,37508530,8690,SPECTRUM ECO MED S.R.L.,Şcheia,TRANSFER(SOSIRE),31 Octombrie  2019,160116,SUCEAVA,1584,,,1584,27350,134350,200,1065,194502,55867,138635,0,138635,0
2018,33237926,3530,THERMONET SRL,Suceava,INREGISTRAT,03 Iunie      2014,974386,SUCEAVA,8382433,194801,7810613,377019,22515526,-17970064,251250,30765993,31402864,39730475,0,8327611,0,8327611
2018,609926,1071,MOLDOPAN COM S.A.,Suceava,TRANSFER(SOSIRE),18 Noiembrie  2010,,SUCEAVA,929373,,,929373,11760915,-10831542,742614,0,0,,0,0,0,0
2018,18490967,4120,AMBIENT CONSTRUCT SRL,Dumbrăveni,RADIERE,23 Decembrie  2019,,SUCEAVA,,,,,270048,-270048,200,0,0,99514,0,99514,0,99514
2018,18642860,7022,INGENIEURBURO GUNTER REIMER GmbH GERMANIA - SEDIU PERMANENT SUCEAVA,Suceava,INREGISTRAT,08 Mai        2006,27870,SUCEAVA,106605,0,43280,63325,189497,-53977,0,0,2651,14363,0,11712,0,11712
2018,18673590,5520,EVERYTHING S.R.L.,Vatra Dornei,SUSPENDARE ACTIVITATE,14 Decembrie  2009,384305,SUCEAVA,672271,0,672271,0,999664,56912,80000,0,0,20,0,20,0,20
2018,20606061,150,LACTALPINA SRL,Fundu Moldovei,INREGISTRAT,16 Ianuarie   2007,573288,SUCEAVA,619915,54570,367765,197580,4219169,-2976875,400200,0,235174,939461,0,704287,0,704287
2018,21396847,2550,M.G. CONSTRUCT & POMIGAROM SRL,Rădăuţi,RADIERE,17 Octombrie  2019,101381,SUCEAVA,698519,-900038,1394106,204451,4834888,-4024854,954470,4500,231859,586395,0,354536,0,354536
2018,21408780,4532,BACARA S.R.L.,Suceava,INREGISTRAT,20 Martie     2007,241444,SUCEAVA,164179,,143018,21161,1224461,-819636,200,15520,15553,3148,12405,0,12405,0
2018,21433325,7830,HUMAN RESOURCES CONSULTING SRL,Suceava,RADIERE,26 Iulie      2019,,SUCEAVA,,,,,347,-347,200,0,0,,0,0,0,0
